t;A
0;0
45;0.081
60;0.111
75;0.138
90;0.163
105;0.192
120;0.216
135;0.244
150;0.27
165;0.292
180;0.317
195;0.341
210;0.364
225;0.389
240;0.41
255;0.433
270;0.454
285;0.476
300;0.498
315;0.519
330;0.539
345;0.561
360;0.577
375;0.598
390;0.617
405;0.635
420;0.653
435;0.671
450;0.687
465;0.704
480;0.72
495;0.736
510;0.751
525;0.767
540;0.781
555;0.796
570;0.81
585;0.824
600;0.836
615;0.85
630;0.862
645;0.874
660;0.886
690;0.909
720;0.932
780;0.977
840;1.016
900;1.052
1020;1.112
1140;1.162
1260;1.205
1380;1.24
1500;1.264
1620;1.28
1800;1.303
1980;1.325
2100;1.327
2220;1.33
